Match,Score,Cote,Pct_parieurs
Canada vs Bosnie-Herzegovine,1-0,5.30,20
Canada vs Bosnie-Herzegovine,0-0,7.00,7
Canada vs Bosnie-Herzegovine,0-1,8.50,2
Canada vs Bosnie-Herzegovine,2-0,6.75,15
Canada vs Bosnie-Herzegovine,1-1,5.80,18
Canada vs Bosnie-Herzegovine,0-2,19,1
Canada vs Bosnie-Herzegovine,2-1,7.75,24
Canada vs Bosnie-Herzegovine,2-2,15,2
Canada vs Bosnie-Herzegovine,1-2,13,6
Canada vs Bosnie-Herzegovine,3-0,12,1
Canada vs Bosnie-Herzegovine,3-3,60,0
Canada vs Bosnie-Herzegovine,0-3,50,0
Canada vs Bosnie-Herzegovine,3-1,14,2
Canada vs Bosnie-Herzegovine,4-4,350,0
Canada vs Bosnie-Herzegovine,1-3,38,0
Canada vs Bosnie-Herzegovine,3-2,30,0
Canada vs Bosnie-Herzegovine,Autre,65,1
Canada vs Bosnie-Herzegovine,2-3,48,0
Canada vs Bosnie-Herzegovine,4-0,29,1
Canada vs Bosnie-Herzegovine,0-4,120,0
Australie vs Turquie,1-0,10,1
Australie vs Turquie,0-0,8.00,21
Australie vs Turquie,0-1,5.80,8
Australie vs Turquie,2-0,22,1
Australie vs Turquie,1-1,6.00,9
Australie vs Turquie,0-2,6.50,19
Australie vs Turquie,2-1,13.50,3
Australie vs Turquie,2-2,14.50,1
Australie vs Turquie,1-2,7.50,19
Australie vs Turquie,3-0,55,1
Australie vs Turquie,3-3,60,0
Australie vs Turquie,0-3,10.50,3
Australie vs Turquie,3-1,40,1
Australie vs Turquie,4-4,275,0
Australie vs Turquie,1-3,12,8
Australie vs Turquie,3-2,44,0
Australie vs Turquie,Autre,55,1
Australie vs Turquie,2-3,26,1
Australie vs Turquie,4-0,130,0
Australie vs Turquie,0-4,23,1
Australie vs Turquie,4-1,95,0
Australie vs Turquie,1-4,26,1
Allemagne vs Curacao,1-0,13,1
Allemagne vs Curacao,0-0,42,3
Allemagne vs Curacao,0-1,60,0
Allemagne vs Curacao,2-0,7.25,7
Allemagne vs Curacao,1-1,30,1
Allemagne vs Curacao,0-2,140,1
Allemagne vs Curacao,2-1,13.50,20
Allemagne vs Curacao,2-2,50,0
Allemagne vs Curacao,1-2,60,1
Allemagne vs Curacao,3-0,5.90,6
Allemagne vs Curacao,3-3,120,0
Allemagne vs Curacao,0-3,450,0
Allemagne vs Curacao,3-1,10.50,2
Allemagne vs Curacao,4-4,450,0
Allemagne vs Curacao,1-3,200,0
Allemagne vs Curacao,3-2,36,0
Allemagne vs Curacao,Autre,4.00,34
Allemagne vs Curacao,2-3,120,0
Allemagne vs Curacao,4-0,6.00,8
Allemagne vs Curacao,0-4,500,0
Allemagne vs Curacao,4-1,11,4
Allemagne vs Curacao,1-4,500,0
Allemagne vs Curacao,4-2,38,0
Allemagne vs Curacao,2-4,450,0
Allemagne vs Curacao,4-3,110,0
Allemagne vs Curacao,3-4,450,0
Allemagne vs Curacao,5-0,7.50,8
Allemagne vs Curacao,0-5,500,1
Allemagne vs Curacao,5-1,14,2
Allemagne vs Curacao,1-5,500,0
Pays-Bas vs Japon,1-0,6.75,3
Pays-Bas vs Japon,0-0,9.00,23
Pays-Bas vs Japon,0-1,9.00,4
Pays-Bas vs Japon,2-0,8.00,4
Pays-Bas vs Japon,1-1,5.90,10
Pays-Bas vs Japon,0-2,16,2
Pays-Bas vs Japon,2-1,7.50,21
Pays-Bas vs Japon,2-2,12,7
Pays-Bas vs Japon,1-2,10.50,10
Pays-Bas vs Japon,3-0,14.50,1
Pays-Bas vs Japon,3-3,48,1
Pays-Bas vs Japon,0-3,38,1
Pays-Bas vs Japon,3-1,13,3
Pays-Bas vs Japon,4-4,180,0
Pays-Bas vs Japon,1-3,26,2
Pays-Bas vs Japon,3-2,23,1
Pays-Bas vs Japon,Autre,60,0
Pays-Bas vs Japon,2-3,32,2
Pays-Bas vs Japon,4-0,32,0
Pays-Bas vs Japon,0-4,75,0
Pays-Bas vs Japon,4-1,30,1
Pays-Bas vs Japon,1-4,60,1
Pays-Bas vs Japon,4-2,48,0
Pays-Bas vs Japon,2-4,65,0
Pays-Bas vs Japon,4-3,80,1
Pays-Bas vs Japon,3-4,100,0
Cote d'Ivoire vs Equateur,1-0,6.75,4
Cote d'Ivoire vs Equateur,0-0,5.00,45
Cote d'Ivoire vs Equateur,0-1,5.30,6
Cote d'Ivoire vs Equateur,2-0,14,4
Cote d'Ivoire vs Equateur,1-1,4.90,11
Cote d'Ivoire vs Equateur,0-2,8.00,1
Cote d'Ivoire vs Equateur,2-1,12,8
Cote d'Ivoire vs Equateur,2-2,16,6
Cote d'Ivoire vs Equateur,1-2,9.00,5
Cote d'Ivoire vs Equateur,3-0,40,1
Cote d'Ivoire vs Equateur,3-3,70,1
Cote d'Ivoire vs Equateur,0-3,19,0
Cote d'Ivoire vs Equateur,3-1,34,2
Cote d'Ivoire vs Equateur,4-4,450,0
Cote d'Ivoire vs Equateur,1-3,21,1
Cote d'Ivoire vs Equateur,3-2,50,1
Cote d'Ivoire vs Equateur,Autre,140,1
Cote d'Ivoire vs Equateur,2-3,42,0
Cote d'Ivoire vs Equateur,4-0,95,1
Cote d'Ivoire vs Equateur,0-4,50,0
Cote d'Ivoire vs Equateur,4-1,85,1
